Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cdvn,reaction time,stimulus,button pressed
3,1599015613557,02/09/2020 03:00:13,1599015608372,-4,01/09/2020 23:00:08,24005,8,task-qgn4,,6676639,BLIND,1912552,,complete,,5f4f09d776a240162727a432,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,3440x1440,3438x1337,,HeadphonesCheck,1,Good Mood,1500.8949999464676,/task/40825/1/asset/Owl.mp3,0
4,1599015615370,02/09/2020 03:00:15,1599015610177,-4,01/09/2020 23:00:10,24005,8,task-qgn4,,6676639,BLIND,1912552,,complete,,5f4f09d776a240162727a432,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,3440x1440,3438x1337,,HeadphonesCheck,1,Good Mood,1803.3649999415502,/task/40825/1/asset/Goat.mp3,0
1,1599015698796,02/09/2020 03:01:38,1599015696645,-7,01/09/2020 20:01:36,24005,8,task-qgn4,,6676659,BLIND,1912550,,complete,,5f4f098cb0bbd515bcb4598e,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x754,,HeadphonesCheck,1,Bad Mood,9820.315000019036,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015702859,02/09/2020 03:01:42,1599015701033,-7,01/09/2020 20:01:41,24005,8,task-qgn4,,6676659,BLIND,1912550,,complete,,5f4f098cb0bbd515bcb4598e,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x754,,HeadphonesCheck,1,Bad Mood,4354.909999994561,/task/40825/1/asset/Dog.mp3,1
3,1599015705834,02/09/2020 03:01:45,1599015704003,-7,01/09/2020 20:01:44,24005,8,task-qgn4,,6676659,BLIND,1912550,,complete,,5f4f098cb0bbd515bcb4598e,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x754,,HeadphonesCheck,1,Bad Mood,2966.509999940172,/task/40825/1/asset/Owl.mp3,0
4,1599015707991,02/09/2020 03:01:47,1599015706163,-7,01/09/2020 20:01:46,24005,8,task-qgn4,,6676659,BLIND,1912550,,complete,,5f4f098cb0bbd515bcb4598e,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1536x864,1536x754,,HeadphonesCheck,1,Bad Mood,2153.705000062473,/task/40825/1/asset/Goat.mp3,0
1,1599015716769,02/09/2020 03:01:56,1599015715605,-6,01/09/2020 21:01:55,24005,8,task-qgn4,,6676661,BLIND,1912554,,complete,,5f4f0947e9e1e415fa5d6c16,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1360x768,1360x625,,HeadphonesCheck,1,Bad Mood,19025.989999994636,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015724497,02/09/2020 03:02:04,1599015723380,-6,01/09/2020 21:02:03,24005,8,task-qgn4,,6676661,BLIND,1912554,,complete,,5f4f0947e9e1e415fa5d6c16,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1360x768,1360x625,,HeadphonesCheck,1,Bad Mood,7756.954999997106,/task/40825/1/asset/Dog.mp3,1
3,1599015727015,02/09/2020 03:02:07,1599015725924,-6,01/09/2020 21:02:05,24005,8,task-qgn4,,6676661,BLIND,1912554,,complete,,5f4f0947e9e1e415fa5d6c16,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1360x768,1360x625,,HeadphonesCheck,1,Bad Mood,2538.345000000845,/task/40825/1/asset/Owl.mp3,0
4,1599015729499,02/09/2020 03:02:09,1599015728379,-6,01/09/2020 21:02:08,24005,8,task-qgn4,,6676661,BLIND,1912554,,complete,,5f4f0947e9e1e415fa5d6c16,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1360x768,1360x625,,HeadphonesCheck,1,Bad Mood,2451.4300000009825,/task/40825/1/asset/Goat.mp3,0
