Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,key pressed,builtin rt,end_time,start_time,response,
45,1601310137794,28/09/2020 16:22:17,1601310135038,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,42,40,41.625000012572855,1601310134937,1601310134895,,
46,1601310137951,28/09/2020 16:22:17,1601310135194,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,51,40,49.82499999459833,1601310135092,1601310135041,,
47,1601310138075,28/09/2020 16:22:18,1601310135311,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,12,40,11.529999959748238,1601310135209,1601310135197,,
48,1601310138204,28/09/2020 16:22:18,1601310135453,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,40,40,39.49500003363937,1601310135352,1601310135312,,
49,1601310138360,28/09/2020 16:22:18,1601310135600,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,45,40,45.12500000419095,1601310135499,1601310135454,,
50,1601310138532,28/09/2020 16:22:18,1601310135774,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,72,40,71.54000003356487,1601310135673,1601310135601,,
51,1601310138657,28/09/2020 16:22:18,1601310135903,2,28/09/2020 18:22:15,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,25,40,23.664999986067414,1601310135802,1601310135777,,
52,1601310138813,28/09/2020 16:22:18,1601310136058,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,50,40,48.7299999804236,1601310135956,1601310135906,,
53,1601310138985,28/09/2020 16:22:18,1601310136225,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,63,40,61.95499998284504,1601310136124,1601310136061,,
54,1601310139141,28/09/2020 16:22:19,1601310136387,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,59,40,57.84000002313405,1601310136285,1601310136226,,
55,1601310139297,28/09/2020 16:22:19,1601310136550,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,59,40,58.169999974779785,1601310136449,1601310136390,,
56,1601310139469,28/09/2020 16:22:19,1601310136718,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,64,40,62.98500002594665,1601310136617,1601310136553,,
57,1601310139641,28/09/2020 16:22:19,1601310136883,2,28/09/2020 18:22:16,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,61,40,60.61500002397224,1601310136782,1601310136721,,
58,1601310139781,28/09/2020 16:22:19,1601310137024,2,28/09/2020 18:22:17,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,37,40,35.56000004755333,1601310136923,1601310136886,,
59,1601310139969,28/09/2020 16:22:19,1601310137202,2,28/09/2020 18:22:17,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,76,40,76.29500003531575,1601310137101,1601310137025,,
60,1601310140094,28/09/2020 16:22:20,1601310137338,2,28/09/2020 18:22:17,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,29,40,28.415000007953495,1601310137236,1601310137207,,
61,1601310140236,28/09/2020 16:22:20,1601310137477,2,28/09/2020 18:22:17,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,37,40,36.45499999402091,1601310137376,1601310137339,,
62,1601310140377,28/09/2020 16:22:20,1601310137623,2,28/09/2020 18:22:17,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,44,40,43.59499999554828,1601310137522,1601310137478,,
